Keyword,Available,Unavailable,Description,SourceLink
cough,Ascof Forte,Ambroxol,"Lagundi has become one of the most established and widely used herbal drugs for cough in the country through the various measures 
taken to promote research and development of traditional medicine. The lagundi-based medication was first licensed by PCHRD to three 
pharmaceutical companies in 1995 namely, Pascual Laboratories, Inc., Gruppo Medica, Inc. and Natrapharm, Inc.

The technology has been fully commercialized since 1997 by Pascual Laboratories, which released lagundi in the market under the brand 
name Ascof Lagundi. In accordance with the Technology Transfer Act of 2009, PCHRD then transferred the entitlement of the technology to 
UP Manila on behalf of the National Integrated Research Program on Medicinal Plants (NIRPROMP) in 2012.",https://www.pchrd.dost.gov.ph/heartnovation/lagundi-anti-cough-and-anti-asthma-medicine/
,,,,
,,,,
headache,"Biogesic, Medicol Advance 400, Neozep Forte, Neozep Non-Drowsy","Alaxan, Medicol Advance 200","
Biogesic is a trusted brand of paracetamol, Paracetamol (Biogesic) is a medication that is typically used to relieve mild to moderate pain. 
According to the National Health Service in the UK, paracetamol is often recommended as one of the first treatments of pain because 
it gives relief for most people, even for children, breastfeeding and/or pregnant women, and the elderly. Biogesic (Paracetamol) 
exhibits analgesic and antipyretic activity by inhibiting prostaglandin synthesis. It produces analgesia by elevating the pain 
threshold and antipyresis through action on the hypothalamic heat-regulating center. 

Medicol Advance 400 contains Ibuprofen which belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). 
Like other NSAIDs, Ibuprofen works by changing the body’s chemical response to pain, swelling and fever resulting in relief of 
symptoms of inflammation (e.g., swelling, redness) and relief of pain and/or fever. Ibuprofen given as a softgel capsule is absorbed 
more rapidly by the body compared to an ordinary tablet.

Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.","https://www.unilab.com.ph/biogesic/learn/articles/paracetamol-(biogesic)-care-and-relief-from-headaches-fever-and-minor-pain#:~:text=market%20since%201965.-,Product%20usage%20and%20safety,the%20common%20cold%20and%20flu. 
Biogesic Full Prescribing Information, Dosage & Side Effects | MIMS Philippines 
https://www.unilab.com.ph/products/neozep
https://www.unilab.com.ph/products/medicol-advance-400
https://www.unilab.com.ph/products/neozep"
backache,"Biogesic, Medicol Advance 400","Alaxan, Medicol Advance 200","Biogesic is a trusted brand of paracetamol, it is a medication that is typically used to relieve mild to moderate pain. 
According to the National Health Service in the UK, paracetamol is often recommended as one of the first treatments of pain because 
it gives relief for most people, even for children, breastfeeding and/or pregnant women, and the elderly. Biogesic (Paracetamol) 
exhibits analgesic and antipyretic activity by inhibiting prostaglandin synthesis. It produces analgesia by elevating the pain 
threshold and antipyresis through action on the hypothalamic heat-regulating center. 

Medicol Advance 400 contains Ibuprofen which belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). 
Like other NSAIDs, Ibuprofen works by changing the body’s chemical response to pain, swelling and fever resulting in relief of 
symptoms of inflammation (e.g., swelling, redness) and relief of pain and/or fever. Ibuprofen given as a softgel capsule is absorbed 
more rapidly by the body compared to an ordinary tablet.","https://www.unilab.com.ph/biogesic/learn/articles/paracetamol-(biogesic)-care-and-relief-from-headaches-fever-and-minor-pain#:~:text=market%20since%201965.-,Product%20usage%20and%20safety,the%20common%20cold%20and%20flu. 
Biogesic Full Prescribing Information, Dosage & Side Effects | MIMS Philippines 
https://www.unilab.com.ph/products/medicol-advance-400
"
fever,"Biogesic, Neozep Forte, Neozep Non-Drowsy",Tuseran,"Biogesic is a trusted brand of paracetamol, Paracetamol (Biogesic) is a medication that is typically used to relieve mild to moderate pain. 
According to the National Health Service in the UK, paracetamol is often recommended as one of the first treatments of pain because 
it gives relief for most people, even for children, breastfeeding and/or pregnant women, and the elderly. Biogesic (Paracetamol) 
exhibits analgesic and antipyretic activity by inhibiting prostaglandin synthesis. It produces analgesia by elevating the pain 
threshold and antipyresis through action on the hypothalamic heat-regulating center. 

Bioflu contains: Phenylephrine HCl (Nasal decongestant) reduces swelling and obstruction of nasal passageways including sinuses to 
improve flow of air and make breathing easier. It also reduces postnasal drip leading to cough. Chlorphenamine Maleate (Anti-Allergy) 
an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, and itchy, watery eyes. Paracetamol is an effective 
fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + Chlorphenamine Maleate + Paracetamol is expected to 
start taking effect in as fast as 15 minutes.""

Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.","https://www.unilab.com.ph/biogesic/learn/articles/paracetamol-(biogesic)-care-and-relief-from-headaches-fever-and-minor-pain#:~:text=market%20since%201965.-,Product%20usage%20and%20safety,the%20common%20cold%20and%20flu. 
Biogesic Full Prescribing Information, Dosage & Side Effects | MIMS Philippines 
https://www.unilab.com.ph/products/medicol-advance-400
https://www.unilab.com.ph/products/neozep"
common cold,"Biogesic, Neozep Forte, Neozep Non-Drowsy","Decolgen, Nafarin-A","Biogesic is a trusted brand of paracetamol, Paracetamol (Biogesic) is a medication that is typically used to relieve mild to moderate pain. 
According to the National Health Service in the UK, paracetamol is often recommended as one of the first treatments of pain because 
it gives relief for most people, even for children, breastfeeding and/or pregnant women, and the elderly. Biogesic (Paracetamol) 
exhibits analgesic and antipyretic activity by inhibiting prostaglandin synthesis. It produces analgesia by elevating the pain 
threshold and antipyresis through action on the hypothalamic heat-regulating center. 

Bioflu contains: Phenylephrine HCl (Nasal decongestant) reduces swelling and obstruction of nasal passageways including sinuses to 
improve flow of air and make breathing easier. It also reduces postnasal drip leading to cough. Chlorphenamine Maleate (Anti-Allergy) 
an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, and itchy, watery eyes. Paracetamol is an effective 
fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + Chlorphenamine Maleate + Paracetamol is expected to 
start taking effect in as fast as 15 minutes.""

Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.","https://www.unilab.com.ph/biogesic/learn/articles/paracetamol-(biogesic)-care-and-relief-from-headaches-fever-and-minor-pain#:~:text=market%20since%201965.-,Product%20usage%20and%20safety,the%20common%20cold%20and%20flu. 
Biogesic Full Prescribing Information, Dosage & Side Effects | MIMS Philippines 
https://www.unilab.com.ph/products/medicol-advance-400
https://www.unilab.com.ph/products/neozep"
flu,"Biogesic, Neozep Forte, Neozep Non-Drowsy",Tuseran,"Biogesic is a trusted brand of paracetamol, Paracetamol (Biogesic) is a medication that is typically used to relieve mild to moderate pain. 
According to the National Health Service in the UK, paracetamol is often recommended as one of the first treatments of pain because 
it gives relief for most people, even for children, breastfeeding and/or pregnant women, and the elderly. Biogesic (Paracetamol) 
exhibits analgesic and antipyretic activity by inhibiting prostaglandin synthesis. It produces analgesia by elevating the pain 
threshold and antipyresis through action on the hypothalamic heat-regulating center. 

Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.","https://www.unilab.com.ph/biogesic/learn/articles/paracetamol-(biogesic)-care-and-relief-from-headaches-fever-and-minor-pain#:~:text=market%20since%201965.-,Product%20usage%20and%20safety,the%20common%20cold%20and%20flu. 
Biogesic Full Prescribing Information, Dosage & Side Effects | MIMS Philippines 
ttps://www.unilab.com.ph/products/neozep"
toothache,"Biogesic, Medicol Advance 400",Medicol Advance 200,"Biogesic is a trusted brand of paracetamol, Paracetamol (Biogesic) is a medication that is typically used to relieve mild to moderate pain. 
According to the National Health Service in the UK, paracetamol is often recommended as one of the first treatments of pain because 
it gives relief for most people, even for children, breastfeeding and/or pregnant women, and the elderly. Biogesic (Paracetamol) 
exhibits analgesic and antipyretic activity by inhibiting prostaglandin synthesis. It produces analgesia by elevating the pain 
threshold and antipyresis through action on the hypothalamic heat-regulating center. 

Medicol Advance 400 contains Ibuprofen which belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). 
Like other NSAIDs, Ibuprofen works by changing the body’s chemical response to pain, swelling and fever resulting in relief of 
symptoms of inflammation (e.g., swelling, redness) and relief of pain and/or fever. Ibuprofen given as a softgel capsule is absorbed 
more rapidly by the body compared to an ordinary tablet.","https://www.unilab.com.ph/biogesic/learn/articles/paracetamol-(biogesic)-care-and-relief-from-headaches-fever-and-minor-pain#:~:text=market%20since%201965.-,Product%20usage%20and%20safety,the%20common%20cold%20and%20flu. 
Biogesic Full Prescribing Information, Dosage & Side Effects | MIMS Philippines 
https://www.unilab.com.ph/products/medicol-advance-400
"
minor arthritis pain,"Biogesic, Neozep Forte, Neozep Non-Drowsy","Alaxan, Medicol Advance 200","Biogesic is a trusted brand of paracetamol, Paracetamol (Biogesic) is a medication that is typically used to relieve mild to moderate pain. 
According to the National Health Service in the UK, paracetamol is often recommended as one of the first treatments of pain because 
it gives relief for most people, even for children, breastfeeding and/or pregnant women, and the elderly. Biogesic (Paracetamol) 
exhibits analgesic and antipyretic activity by inhibiting prostaglandin synthesis. It produces analgesia by elevating the pain 
threshold and antipyresis through action on the hypothalamic heat-regulating center. 

Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.","https://www.unilab.com.ph/biogesic/learn/articles/paracetamol-(biogesic)-care-and-relief-from-headaches-fever-and-minor-pain#:~:text=market%20since%201965.-,Product%20usage%20and%20safety,the%20common%20cold%20and%20flu. 
Biogesic Full Prescribing Information, Dosage & Side Effects | MIMS Philippines 
ttps://www.unilab.com.ph/products/neozep"
